MAG ID	Domain Marker Set	Classification	Domain	Phylum	Class	Order	Family	Genus	Species	Classification Method	Msa Percent	Note
A05_bin.102	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Porcipelethomonas;s__Porcipelethomonas ammoniilytica	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Porcipelethomonas	Porcipelethomonas ammoniilytica	ani_screen		classification based on ANI only
A05_bin.109	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp900755095	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp900755095	ani_screen		classification based on ANI only
A05_bin.115	bac120	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__UBA5809;s__UBA5809 sp002417965	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	UBA5809	UBA5809 sp002417965	ani_screen		classification based on ANI only
A05_bin.15	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A intestinihominis	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus_A	Coprococcus_A intestinihominis	ani_screen		classification based on ANI only
A05_bin.33	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp900754795	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Fimisoma	Fimisoma sp900754795	ani_screen		classification based on ANI only
A05_bin.47	bac120	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__UMGS1519;s__UMGS1519 sp900552585	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	UMGS1519	UMGS1519 sp900552585	ani_screen		classification based on ANI only
A05_bin.49	bac120	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius_D	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius_D	ani_screen		classification based on ANI only
A05_bin.5	ar53	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella smithii	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanocatella	Methanocatella smithii	ani_screen		classification based on ANI only
A05_bin.79	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Fimenecus	Fimenecus sp000432435	ani_screen		classification based on ANI only
A05_bin.9	bac120	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus reuteri	ani_screen		classification based on ANI only
A05_bin.91	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__CAG-238 sp900542245	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-238	CAG-238 sp900542245	ani_screen		classification based on ANI only
A05_bin.92	bac120	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei	ani_screen		classification based on ANI only
A06_bin.107	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter splanchnicus	ani_screen		classification based on ANI only
A06_bin.108	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella sp900547385	ani_screen		classification based on ANI only
A06_bin.20	bac120	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-582;s__CAG-582 sp000435515	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CAG-582	CAG-582 sp000435515	ani_screen		classification based on ANI only
A06_bin.30	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_U;s__Eubacterium_U album	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_U	Eubacterium_U album	ani_screen		classification based on ANI only
A06_bin.31	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia intestinalis	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Oliverpabstia	Oliverpabstia intestinalis	ani_screen		classification based on ANI only
A06_bin.41	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp000434435	Bacteria	Bacillota	Clostridia	Christensenellales	CAG-917	CAG-475	CAG-475 sp000434435	ani_screen		classification based on ANI only
A06_bin.83	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	CAG-194	CAG-194 sp000432915	ani_screen		classification based on ANI only
A07_bin.25	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella xylaniphila	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	Paraprevotella xylaniphila	ani_screen		classification based on ANI only
A07_bin.27	bac120	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Fusicatenibacter_A;s__Fusicatenibacter_A intestinipullorum	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Fusicatenibacter_A	Fusicatenibacter_A intestinipullorum	ani_screen		classification based on ANI only
A07_bin.40	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum hominis	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum hominis	ani_screen		classification based on ANI only
A07_bin.65	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella intestinihominis	ani_screen		classification based on ANI only
A07_bin.75	bac120	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia isoflavoniconvertens	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	Slackia isoflavoniconvertens	ani_screen		classification based on ANI only
A07_bin.77	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UMGS882;s__UMGS882 sp900757905	Bacteria	Bacillota	Clostridia	Oscillospirales	CAG-382	UMGS882	UMGS882 sp900757905	ani_screen		classification based on ANI only
A07_bin.85	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola plebeius	ani_screen		classification based on ANI only
A08_bin.108	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__QALW01;g__Neochristensenella;s__Neochristensenella sp003150515	Bacteria	Bacillota	Clostridia	Christensenellales	QALW01	Neochristensenella	Neochristensenella sp003150515	ani_screen		classification based on ANI only
A08_bin.2	bac120	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp000436075	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Anaerotardibacter	Anaerotardibacter sp000436075	ani_screen		classification based on ANI only
A08_bin.91	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes amylophilus	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes amylophilus	ani_screen		classification based on ANI only
A09_bin.16	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	CAG-103	CAG-103 sp900317855	ani_screen		classification based on ANI only
A09_bin.21	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900545925	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp900545925	ani_screen		classification based on ANI only
A09_bin.36	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter segnis	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter segnis	ani_screen		classification based on ANI only
A09_bin.58	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp000435715	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Fimisoma	Fimisoma sp000435715	ani_screen		classification based on ANI only
A09_bin.62	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium	Ruthenibacterium lactatiformans	ani_screen		classification based on ANI only
B01_bin.20	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes dispar	ani_screen		classification based on ANI only
B01_bin.49	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter_A;s__Lawsonibacter_A hominis	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter_A	Lawsonibacter_A hominis	ani_screen		classification based on ANI only
B01_bin.63	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	Bacteria	Bacillota	Clostridia	Christensenellales	CAG-917	CAG-349	CAG-349 sp003539515	ani_screen		classification based on ANI only
B01_bin.66	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__Aphodomorpha;s__Aphodomorpha intestinavium	Bacteria	Bacillota	Clostridia	Christensenellales	CAG-138	Aphodomorpha	Aphodomorpha intestinavium	ani_screen		classification based on ANI only
B01_bin.68	bac120	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp900544245	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	QAMH01	QAMH01	QAMH01 sp900544245	ani_screen		classification based on ANI only
B01_bin.9	bac120	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	ani_screen		classification based on ANI only
B02_bin.18	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp944322375	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp944322375	ani_screen		classification based on ANI only
B02_bin.24	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__SFMI01;s__SFMI01 sp004556155	Bacteria	Bacillota	Clostridia	Christensenellales	Aristaeellaceae	SFMI01	SFMI01 sp004556155	ani_screen		classification based on ANI only
B02_bin.26	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes merdipullorum	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes merdipullorum	ani_screen		classification based on ANI only
B02_bin.40	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes megaguti	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes megaguti	ani_screen		classification based on ANI only
B02_bin.41	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	Dorea_A longicatena	ani_screen		classification based on ANI only
B02_bin.56	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp945863825	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp945863825	ani_screen		classification based on ANI only
B02_bin.68	bac120	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__Succiniclasticum sp900314855	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum	Succiniclasticum sp900314855	ani_screen		classification based on ANI only
B02_bin.70	bac120	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio faecigallinarum	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio faecigallinarum	ani_screen		classification based on ANI only
B02_bin.73	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola fibrisolvens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola fibrisolvens	ani_screen		classification based on ANI only
B02_bin.75	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A sp900545315	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A sp900545315	ani_screen		classification based on ANI only
B02_bin.77	bac120	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__UBA1822;s__UBA1822 sp900545365	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	UBA1822	UBA1822 sp900545365	ani_screen		classification based on ANI only
B02_bin.97	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA1820;g__Merdimorpha;s__Merdimorpha sp003150615	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA1820	Merdimorpha	Merdimorpha sp003150615	ani_screen		classification based on ANI only
B02_bin.99	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__CAG-841 sp000437375	Bacteria	Bacillota	Clostridia	Oscillospirales	CAG-272	CAG-841	CAG-841 sp000437375	ani_screen		classification based on ANI only
B03_bin.12	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella_B;s__Barnesiella_B propionica	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella_B	Barnesiella_B propionica	ani_screen		classification based on ANI only
B03_bin.36	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides bromii	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcoides	Ruminococcoides bromii	ani_screen		classification based on ANI only
B03_bin.49	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000433975	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp000433975	ani_screen		classification based on ANI only
B03_bin.54	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1212;f__UBA1255;g__Egerieisoma;s__Egerieisoma sp900552695	Bacteria	Bacillota	Clostridia	UBA1212	UBA1255	Egerieisoma	Egerieisoma sp900552695	ani_screen		classification based on ANI only
B03_bin.63	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas massiliensis	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas massiliensis	ani_screen		classification based on ANI only
B03_bin.77	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium duncaniae	ani_screen		classification based on ANI only
B03_bin.9	bac120	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia biwaensis	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia biwaensis	ani_screen		classification based on ANI only
B04_bin.13	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp900548505	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter sp900548505	ani_screen		classification based on ANI only
B04_bin.18	bac120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	ani_screen		classification based on ANI only
B04_bin.30	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus massiliensis	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus massiliensis	ani_screen		classification based on ANI only
B04_bin.33	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__Hominilimicola fabiformis	Bacteria	Bacillota	Clostridia	UBA1381	UBA1381	Hominilimicola	Hominilimicola fabiformis	ani_screen		classification based on ANI only
B04_bin.53	bac120	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter asaccharolyticus	ani_screen		classification based on ANI only
B04_bin.73	bac120	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp000434775	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Anaerotardibacter	Anaerotardibacter sp000434775	ani_screen		classification based on ANI only
B05_bin.105	bac120	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absicoccus;s__Absicoccus sp000434355	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Absicoccus	Absicoccus sp000434355	ani_screen		classification based on ANI only
