Candidate Rank	Rule-based candidate-priority score	Priority Class	Positive Elimination Followup Candidate	Feature Set	Feature Family	Feature	Mean Normalized Importance	Selection frequency	Spearman Feature Vs Primary Elimination Score	Direction For Elimination Hypothesis	Min Association P Value	Min Association Q Value	FDR Supported	Nominal Supported	Raw FDR Supported Before Control Filter	Raw Nominal Supported Before Control Filter	Association Support Is Control Or Availability Term	Prevalence Fraction Gt0	Coefficient Of Variation	Variance Prevalence Class	Public Context Matching Rows	Bioaccumulation Relevance Keyword Flag	Best Association Source	Best Association Method	Best Predictor	Best Term	Interpretation
11.0	8.569957966914018	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__Faecalibacterium_butyricigenerans	0.00206206633272498	1.0	0.278792784458834	positive_higher_feature_higher_elimination	0.00294450219132709	0.025081590038886	1	1	1	1	0	0.8	2.6510232623853183	high_prevalence_high_variance	0	1	Phase9_terms	ANCOMBC2	PFOS_branchedMP2_61_derived_tertile	PFOS_branchedMP2_61_derived_tertilelow	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
12.0	8.566846313788618	highest_priority_FDR_supported_stable_positive	yes	combined_capped	agora2_subsystem	Oxalate metabolism	0.000420423250924547	0.916	0.0751618871415356	positive_higher_feature_higher_elimination	4.94542042789985e-07	0.000829347005758804	1	1	1	1	0	1.0	1.0222008156102738	high_prevalence_high_variance	1	1	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_622.931465733	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
13.0	8.557318472532424	highest_priority_FDR_supported_stable_positive	yes	agora2_model_features	agora2_reaction	FEDCabcpp	0.00195486722287221	0.968	0.261794634597595	positive_higher_feature_higher_elimination	3.61904416535056e-05	0.0352123216088163	1	1	1	1	0	1.0	0.5405199730571646	high_prevalence_high_variance	0	1	CLR_comprehensive	CLR_LM	fecal_PFNA	fecal_PFNA0.108816121	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
14.0	8.556131934744217	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_genus	g__GGB9627	0.0054694143475945	0.996	0.394657724329325	positive_higher_feature_higher_elimination	0.000137003907624594	0.00227832424160899	1	1	1	1	0	0.5384615384615384	2.1090739251925807	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	PFOA_derived_tertile	PFOA_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
15.0	8.54565063464758	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_genus	g__Intestinibacter	0.00206511502529008	0.996	0.399629972247919	positive_higher_feature_higher_elimination	0.00339843508676158	0.0413446672047299	1	1	1	1	0	0.5230769230769231	2.054126661049633	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	fecal_PFOS_345_derived_tertile	fecal_PFOS_345_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
16.0	8.541322368630311	highest_priority_FDR_supported_stable_positive	yes	agora2_reaction	agora2_reaction	FEDCabcpp	0.00295551657252023	1.0	0.261794634597595	positive_higher_feature_higher_elimination	3.61904416535056e-05	0.0352123216088163	1	1	1	1	0	1.0	0.5405199730571646	high_prevalence_high_variance	0	1	CLR_comprehensive	CLR_LM	fecal_PFNA	fecal_PFNA0.108816121	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
17.0	8.541014178524016	highest_priority_FDR_supported_stable_positive	yes	agora2_exchange	agora2_exchange	EX_3dhchol(e)	0.00128528013944803	1.0	0.0166512488436633	positive_higher_feature_higher_elimination	2.01784637744665e-08	4.69754636669579e-05	1	1	1	1	0	0.9846153846153847	1.2196494957409978	high_prevalence_high_variance	1	1	CLR_comprehensive	CLR_LM	fecal_PFNA	fecal_PFNA0.108816121	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
18.0	8.540840714112658	highest_priority_FDR_supported_stable_positive	yes	agora2_exchange	agora2_exchange	EX_3dhcdchol(e)	0.00125636940422168	1.0	0.0166512488436633	positive_higher_feature_higher_elimination	2.01784637744665e-08	4.69754636669579e-05	1	1	1	1	0	0.9846153846153847	1.2196494957409978	high_prevalence_high_variance	1	1	CLR_comprehensive	CLR_LM	fecal_PFNA	fecal_PFNA0.108816121	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
19.0	8.536107361821841	highest_priority_FDR_supported_stable_positive	yes	taxonomy_genus	taxonomy_genus	g__Turicibacter	0.0140351615987372	1.0	0.475948196114709	positive_higher_feature_higher_elimination	0.000226487881811756	0.0169488431555797	1	1	1	1	0	0.36923076923076925	2.42919140382997	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFOS_MP26_derived_tertile	elim_k_PFOS_MP26_derived_tertilelow	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
20.0	8.525466327460554	highest_priority_FDR_supported_stable_positive	yes	agora2_model_features	agora2_exchange	EX_3dhchol(e)	0.000360638295537794	0.96	0.0166512488436633	positive_higher_feature_higher_elimination	2.01784637744665e-08	4.69754636669579e-05	1	1	1	1	0	0.9846153846153847	1.2196494957409978	high_prevalence_high_variance	1	1	CLR_comprehensive	CLR_LM	fecal_PFNA	fecal_PFNA0.108816121	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
21.0	8.522984572030733	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__GGB9627_SGB15081	0.0044860194827663	1.0	0.373034227567068	positive_higher_feature_higher_elimination	8.80167738973684e-05	0.00184498226057662	1	1	1	1	0	0.5384615384615384	2.1090739251925807	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	PFOA_derived_tertile	PFOA_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
22.0	8.500756945906002	highest_priority_FDR_supported_stable_positive	yes	humann_pathways	humann_pathways	FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Bacteroides.s__Bacteroides_vulgatus	0.000477067302557799	0.976	0.296947271045328	positive_higher_feature_higher_elimination	0.000324834345031453	0.046618121038481	1	1	1	1	0	0.8	1.2428647355167448	high_prevalence_high_variance	0	1	CLR_targeted	CLR_targeted		elimination_groupLow_k_LPFOS_T1	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
23.0	8.497773861023102	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_genus	g__Sutterella	0.00140911868115524	0.996	0.377659574468085	positive_higher_feature_higher_elimination	0.00299601342900187	0.018427534652354	1	1	1	1	0	0.6461538461538462	1.6548913198736939	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFHpS_derived_tertile	elim_k_PFHpS_derived_tertilehigh	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
24.0	8.481374130711172	highest_priority_FDR_supported_stable_positive	yes	taxonomy_genus	taxonomy_genus	g__Neobittarella_ex_Bilen_et_al_2018	0.000739968439527723	0.984	0.270467160037003	positive_higher_feature_higher_elimination	3.08058320921981e-05	0.000922121240626462	1	1	1	1	0	0.16923076923076924	6.121121372684292	high_prevalence_high_variance	0	1	Phase9_terms	ANCOMBC2	PFOS_derived_tertile	PFOS_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
25.0	8.479422439137316	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_genus	g__Waltera	0.00305298438289253	0.996	0.363552266419981	positive_higher_feature_higher_elimination	1.62584066609367e-05	0.00894766827293853	1	1	1	1	0	0.9846153846153847	1.7353854569065792	high_prevalence_high_variance	0	0	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_625.206843718	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
26.0	8.464284594722699	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__Sutterella_wadsworthensis	0.00197743553734797	0.984	0.383209990749306	positive_higher_feature_higher_elimination	0.00115188353136272	0.0090159772701724	1	1	1	1	0	0.5846153846153846	1.8258649841942733	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFHpS_derived_tertile	elim_k_PFHpS_derived_tertilehigh	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
27.0	8.461427560645316	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_genus	g__Alistipes	0.00147998659537244	0.996	0.35927382053654	positive_higher_feature_higher_elimination	5.87566969160719e-12	4.74871624475693e-08	1	1	1	1	0	0.9846153846153847	0.720829875356295	high_prevalence_high_variance	0	0	CLR_comprehensive	CLR_LM	fecal_PFNA	fecal_PFNA0.14375	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
28.0	8.44459476799566	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__Phocaeicola_vulgatus	0.00296005923578616	0.992	0.354417206290472	positive_higher_feature_higher_elimination	7.94319191144113e-05	0.0361225223250915	1	1	1	1	0	0.8769230769230769	1.411237521295898	high_prevalence_high_variance	0	0	Phase9_terms	ALDEx2	HL_LPFOS_derived_tertile	glm.ep	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
29.0	8.420750223126923	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__Fusicatenibacter_faecihominis	0.00119719259947644	0.984	0.363783533765032	positive_higher_feature_higher_elimination	1.56751717964153e-05	0.0072349008415702	1	1	1	1	0	0.9384615384615385	1.4289368251848191	high_prevalence_high_variance	0	0	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_621.309164149	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
30.0	8.385224241074834	highest_priority_FDR_supported_stable_positive	yes	taxonomy_genus	taxonomy_genus	g__GGB9627	0.0158306205059971	1.0	0.395120259019426	positive_higher_feature_higher_elimination	0.000137003907624594	0.00227832424160899	1	1	1	1	0	0.5384615384615384	2.1090739251925807	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	PFOA_derived_tertile	PFOA_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
31.0	8.3851820299158	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__Holdemania_sp_1001095H_141210_F2	0.0144359812425194	1.0	0.399283071230342	positive_higher_feature_higher_elimination	2.92776705832717e-05	0.00253263493756606	1	1	1	1	0	0.24615384615384617	2.7295431295330084	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFPeS_derived_tertile	elim_k_PFPeS_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
32.0	8.376324799415151	highest_priority_FDR_supported_stable_positive	yes	taxonomy_genus	taxonomy_genus	g__Intestinibacter	0.00848860748809409	1.0	0.412696577243293	positive_higher_feature_higher_elimination	0.00339843508676158	0.0413446672047299	1	1	1	1	0	0.5230769230769231	2.054126661049633	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	fecal_PFOS_345_derived_tertile	fecal_PFOS_345_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
33.0	8.359201798802129	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__Intestinibacter_bartlettii	0.00521078391999737	1.0	0.413968547641073	positive_higher_feature_higher_elimination	0.00208822468654356	0.0245173046531225	1	1	1	1	0	0.5230769230769231	2.054126661049633	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	fecal_PFOS_345_derived_tertile	fecal_PFOS_345_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
34.0	8.35556411748329	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_genus	g__Jutongia	0.000701327628651872	0.984	0.332678075855689	positive_higher_feature_higher_elimination	2.5653473831082e-06	0.00038394699167186	1	1	1	1	0	0.27692307692307694	2.9348428545584357	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	fecal_PFOS_62_derived_tertile	fecal_PFOS_62_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
35.0	8.349743686846132	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__Blautia_intestinalis	0.00175993300657861	0.992	0.31059204440333	positive_higher_feature_higher_elimination	0.0092743858150784	0.0374519783870045	1	1	1	1	0	0.8	1.3419696099911227	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	HL_PFHxS_derived_tertile	HL_PFHxS_derived_tertilelow	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
36.0	8.343603303265855	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__Fusicatenibacter_faecihominis	0.00712074789244363	1.0	0.400439407955597	positive_higher_feature_higher_elimination	1.56751717964153e-05	0.0072349008415702	1	1	1	1	0	0.9384615384615385	1.4289368251848191	high_prevalence_high_variance	0	0	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_621.309164149	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
37.0	8.331682767359535	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_genus	g__GGB9531	0.00113245012575646	0.996	0.295444033302498	positive_higher_feature_higher_elimination	4.15616406872316e-07	0.00018661176668567	1	1	1	1	0	0.4153846153846154	3.4801041024797152	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	PFNA_derived_tertile	PFNA_derived_tertilehigh	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
38.0	8.330476049091882	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_genus	g__Gallintestinimicrobium	0.0027743769763065	1.0	0.281914893617021	positive_higher_feature_higher_elimination	1.08603869973457e-06	0.00140700654792949	1	1	1	1	0	0.9230769230769231	2.110952524233456	high_prevalence_high_variance	0	0	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_622.808040201	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
39.0	8.328670927564826	highest_priority_FDR_supported_stable_positive	yes	mag_abundance	mag_abundance	G05_bin.96	0.00421512067492699	0.996	0.409690101757632	positive_higher_feature_higher_elimination	0.000130622739263311	0.00939919692120213	1	1	1	1	0	0.5076923076923077	2.0899489590489986	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFPeS_derived_tertile	elim_k_PFPeS_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
40.0	8.32588572541787	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__GGB9627_SGB15081	0.0119152743103171	1.0	0.377197039777983	positive_higher_feature_higher_elimination	8.80167738973684e-05	0.00184498226057662	1	1	1	1	0	0.5384615384615384	2.1090739251925807	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	PFOA_derived_tertile	PFOA_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
41.0	8.32025476757391	highest_priority_FDR_supported_stable_positive	yes	taxonomy_genus	taxonomy_genus	g__Waltera	0.00920373169093388	1.0	0.382516188714154	positive_higher_feature_higher_elimination	1.62584066609367e-05	0.00894766827293853	1	1	1	1	0	0.9846153846153847	1.7353854569065792	high_prevalence_high_variance	0	0	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_625.206843718	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
42.0	8.317028380964524	highest_priority_FDR_supported_stable_positive	yes	taxonomy_genus	taxonomy_genus	g__Sutterella	0.00762529753664086	1.0	0.38563829787234	positive_higher_feature_higher_elimination	0.00299601342900187	0.018427534652354	1	1	1	1	0	0.6461538461538462	1.6548913198736939	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFHpS_derived_tertile	elim_k_PFHpS_derived_tertilehigh	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
43.0	8.316863051311799	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_genus	g__Haemophilus	0.00190733248042779	0.992	0.293709528214616	positive_higher_feature_higher_elimination	0.000498411628380411	0.0223786821142804	1	1	1	1	0	0.6461538461538462	2.2094596230473034	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFOS_MP26_derived_tertile	elim_k_PFOS_MP26_derived_tertilelow	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
44.0	8.316266203843657	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__Segatella_copri	0.0112827268509084	0.996	0.382284921369103	positive_higher_feature_higher_elimination	3.31717701610097e-05	0.00154897507480942	1	1	1	1	0	0.27692307692307694	2.8120332805324515	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	fecal_totalPFOS_derived_tertile	fecal_totalPFOS_derived_tertilelow	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
45.0	8.313716467109177	highest_priority_FDR_supported_stable_positive	yes	taxonomy_genus	taxonomy_genus	g__Alistipes	0.00699622277906581	1.0	0.385869565217391	positive_higher_feature_higher_elimination	5.87566969160719e-12	4.74871624475693e-08	1	1	1	1	0	0.9846153846153847	0.720829875356295	high_prevalence_high_variance	0	0	CLR_comprehensive	CLR_LM	fecal_PFNA	fecal_PFNA0.14375	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
46.0	8.304604398217673	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__Turicibacter_bilis	0.00644825076677532	0.996	0.390957446808511	positive_higher_feature_higher_elimination	5.50708668307683e-05	0.00349149295707071	1	1	1	1	0	0.26153846153846155	2.878689433512061	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFPeS_derived_tertile	elim_k_PFPeS_derived_tertilemid	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
47.0	8.292989390231822	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__Haemophilus_parainfluenzae	0.00177575251936468	0.996	0.274167437557817	positive_higher_feature_higher_elimination	0.000477079605009054	0.0272635643516026	1	1	1	1	0	0.6461538461538462	2.191504953563512	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	HL_PFOS_MP26_derived_tertile	HL_PFOS_MP26_derived_tertilehigh	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
48.0	8.29183241399781	highest_priority_FDR_supported_stable_positive	yes	taxonomy_species	taxonomy_species	s__Sutterella_wadsworthensis	0.00465939554912644	1.0	0.381938020351526	positive_higher_feature_higher_elimination	0.00115188353136272	0.0090159772701724	1	1	1	1	0	0.5846153846153846	1.8258649841942733	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	elim_k_PFHpS_derived_tertile	elim_k_PFHpS_derived_tertilehigh	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
49.0	8.282708560871606	highest_priority_FDR_supported_stable_positive	yes	humann_pathways	humann_pathways	PWY-5005: biotin biosynthesis II	0.00414800405522789	0.996	0.38691026827012	positive_higher_feature_higher_elimination	1.06740936370877e-06	0.002522967586948	1	1	1	1	0	0.9846153846153847	1.002851518718291	high_prevalence_high_variance	0	0	CLR_comprehensive	CLR_LM	fecal_PFOS_62	fecal_PFOS_621.309164149	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
50.0	8.28080833820578	highest_priority_FDR_supported_stable_positive	yes	combined_capped	taxonomy_species	s__GGB9531_SGB14932	0.00106318433556104	0.992	0.278214616096207	positive_higher_feature_higher_elimination	4.88493950015743e-07	0.00015485258215499	1	1	1	1	0	0.4153846153846154	3.4801041024797152	high_prevalence_high_variance	0	0	Phase9_terms	ANCOMBC2	fecal_PFOA_derived_tertile	fecal_PFOA_derived_tertilehigh	ranked_for_follow_up_not_declared_biomarker_or_causal_driver
