fastANI95_representative	GTDB_representative_classification	GTDB_display_taxon	representative_oxygen_use_class	n_clusters_in_this_oxygen_class	n_analysis_MAG_members	analysis_MAG_members	member_oxygen_use_classes	all_analysis_members_match_representative_trait	class_level_cluster_sum_p_value	class_level_cluster_max_p_value
A04_bin.93	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Gemmiger qucibialis	Predicted anaerobe	280	42	A01_bin.25,A03_bin.59,A04_bin.93,A05_bin.119,A06_bin.50,A07_bin.17,A08_bin.103,A09_bin.38,B01_bin.61,B02_bin.54,B03_bin.46,B04_bin.32,B06_bin.8,B08_bin.44,B09_bin.74,C01_bin.49,C02_bin.5,C04_bin.67,C06_bin.52,C07_bin.9,D01_bin.34,D03_bin.90,D05_bin.91,D06_bin.56,D07_bin.61,E01_bin.86,E06_bin.21,E07_bin.29,E08_bin.69,F02_bin.30,F06_bin.56,F07_bin.96,F08_bin.30,G01_bin.89,G02_bin.31,G03_bin.40,G04_bin.103,G05_bin.58,G06_bin.46,G07_bin.23,H03_bin.59,H07_bin.7	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A05_bin.102	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Porcipelethomonas;s__Porcipelethomonas ammoniilytica	Porcipelethomonas ammoniilytica	Predicted anaerobe	280	2	A05_bin.102,F07_bin.94	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A05_bin.109	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp900755095	Bacteroides sp900755095	Predicted anaerobe	280	5	A05_bin.109,B03_bin.30,E03_bin.6,F01_bin.68,H05_bin.66	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A05_bin.15	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A intestinihominis	Coprococcus A intestinihominis	Predicted anaerobe	280	1	A05_bin.15	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A05_bin.49	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius_D	Streptococcus salivarius D	Facultative/other	8	2	A05_bin.49,A07_bin.29	Facultative/other	TRUE	0.010925744105273945	0.01646798509219056
A05_bin.5	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella smithii	Methanocatella smithii	Predicted anaerobe	280	4	A05_bin.5,E04_bin.4,G04_bin.93,G08_bin.85	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A05_bin.79	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435	Fimenecus sp000432435	Predicted anaerobe	280	5	A05_bin.79,B08_bin.60,F04_bin.26,F06_bin.38,G07_bin.35	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A05_bin.91	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__CAG-238 sp900542245	CAG-238 sp900542245	Predicted anaerobe	280	1	A05_bin.91	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A06_bin.107	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	Odoribacter splanchnicus	Predicted anaerobe	280	44	A02_bin.55,A04_bin.91,A06_bin.107,A07_bin.50,A08_bin.8,B03_bin.40,B05_bin.64,B06_bin.28,B07_bin.52,B08_bin.33,B09_bin.99,C01_bin.55,C02_bin.79,C04_bin.44,C05_bin.55,C06_bin.2,C07_bin.43,C08_bin.67,D03_bin.19,D05_bin.70,D08_bin.36,E01_bin.76,E02_bin.63,E03_bin.27,E06_bin.68,E07_bin.52,E08_bin.88,F02_bin.36,F03_bin.3,F04_bin.32,F05_bin.8,F06_bin.89,F08_bin.57,G02_bin.1,G04_bin.2,G05_bin.34,G06_bin.30,G07_bin.103,H02_bin.16,H03_bin.70,H04_bin.2,H05_bin.42,H06_bin.91,H07_bin.8	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A06_bin.108	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385	Angelakisella sp900547385	Predicted anaerobe	280	2	A06_bin.108,G05_bin.7	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A06_bin.30	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_U;s__Eubacterium_U album	Eubacterium U album	Predicted anaerobe	280	1	A06_bin.30	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A06_bin.31	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia intestinalis	Oliverpabstia intestinalis	Predicted anaerobe	280	1	A06_bin.31	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A07_bin.40	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum hominis	Agathobaculum hominis	Predicted anaerobe	280	4	A07_bin.40,C03_bin.15,E03_bin.44,F08_bin.28	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A07_bin.65	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	Barnesiella intestinihominis	Predicted anaerobe	280	18	A04_bin.39,A07_bin.65,B01_bin.60,B02_bin.88,C04_bin.66,C08_bin.42,D06_bin.7,E01_bin.2,E04_bin.29,E07_bin.68,F02_bin.96,F06_bin.88,F07_bin.17,G01_bin.8,G06_bin.79,G08_bin.56,H05_bin.12,H06_bin.81	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A07_bin.75	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia isoflavoniconvertens	Slackia isoflavoniconvertens	Predicted anaerobe	280	1	A07_bin.75	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A07_bin.77	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UMGS882;s__UMGS882 sp900757905	UMGS882 sp900757905	Predicted anaerobe	280	1	A07_bin.77	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A07_bin.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius	Phocaeicola plebeius	Predicted anaerobe	280	2	A07_bin.85,D05_bin.25	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A08_bin.2	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp000436075	Anaerotardibacter sp000436075	Predicted anaerobe	280	4	A08_bin.2,D01_bin.68,E01_bin.65,G07_bin.24	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A08_bin.91	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes amylophilus	Anaerostipes amylophilus	Predicted anaerobe	280	9	A01_bin.84,A04_bin.8,A08_bin.91,B09_bin.66,C04_bin.79,C05_bin.108,F02_bin.2,F06_bin.81,G06_bin.82	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A09_bin.16	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855	CAG-103 sp900317855	Predicted anaerobe	280	5	A09_bin.16,B07_bin.96,E08_bin.81,G03_bin.78,G05_bin.105	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A09_bin.21	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900545925	CAG-170 sp900545925	Predicted anaerobe	280	8	A09_bin.21,B01_bin.31,B05_bin.39,B07_bin.20,C02_bin.54,C07_bin.14,G01_bin.54,G05_bin.96	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A09_bin.36	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter segnis	Oscillibacter segnis	Predicted anaerobe	280	18	A03_bin.2,A05_bin.89,A06_bin.64,A07_bin.60,A09_bin.36,B06_bin.103,B07_bin.31,C08_bin.33,D03_bin.15,E01_bin.57,E04_bin.47,F03_bin.23,F05_bin.40,F08_bin.43,G01_bin.53,G06_bin.18,H01_bin.10,H06_bin.13	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A09_bin.58	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp000435715	Fimisoma sp000435715	Predicted anaerobe	280	1	A09_bin.58	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
A09_bin.62	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	Ruthenibacterium lactatiformans	Predicted anaerobe	280	5	A01_bin.14,A09_bin.62,C07_bin.52,G08_bin.33,H05_bin.19	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B01_bin.20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar	Alistipes dispar	Predicted anaerobe	280	3	A01_bin.16,B01_bin.20,C01_bin.9	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B01_bin.49	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter_A;s__Lawsonibacter_A hominis	Lawsonibacter A hominis	Predicted anaerobe	280	2	B01_bin.49,G08_bin.14	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B01_bin.63	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515	CAG-349 sp003539515	Predicted anaerobe	280	1	B01_bin.63	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B01_bin.68	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp900544245	QAMH01 sp900544245	Predicted anaerobe	280	4	B01_bin.68,C05_bin.92,G01_bin.24,H04_bin.30	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B01_bin.9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	Akkermansia muciniphila	Predicted anaerobe	280	26	A04_bin.21,A06_bin.42,A08_bin.37,B01_bin.9,B02_bin.101,B06_bin.110,C04_bin.51,C07_bin.83,D01_bin.24,D03_bin.66,D05_bin.19,E02_bin.61,E04_bin.41,E08_bin.33,F03_bin.11,F08_bin.81,G02_bin.32,G03_bin.12,G04_bin.28,G05_bin.12,G06_bin.19,G07_bin.1,G08_bin.16,H04_bin.60,H06_bin.5,H08_bin.11	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B02_bin.24	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__SFMI01;s__SFMI01 sp004556155	SFMI01 sp004556155	Predicted anaerobe	280	3	B02_bin.24,B03_bin.34,F05_bin.38	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B02_bin.41	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	Dorea A longicatena	Predicted anaerobe	280	9	A04_bin.36,B02_bin.41,C01_bin.34,C06_bin.46,D05_bin.97,F02_bin.50,G06_bin.32,H04_bin.74,H08_bin.28	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B03_bin.36	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides bromii	Ruminococcoides bromii	Predicted anaerobe	280	1	B03_bin.36	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B03_bin.49	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000433975	Eubacterium R sp000433975	Predicted anaerobe	280	2	B03_bin.49,G05_bin.40	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B03_bin.63	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas massiliensis	Intestinimonas massiliensis	Predicted anaerobe	280	1	B03_bin.63	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B03_bin.77	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae	Faecalibacterium duncaniae	Predicted anaerobe	280	6	A07_bin.44,B03_bin.77,B08_bin.46,E08_bin.61,F02_bin.56,G03_bin.111	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B04_bin.18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	Alistipes onderdonkii	Predicted anaerobe	280	36	A01_bin.40,A03_bin.18,A04_bin.63,A05_bin.96,A06_bin.43,A07_bin.3,A08_bin.10,A09_bin.31,B01_bin.27,B04_bin.18,B05_bin.23,B09_bin.102,C07_bin.15,D02_bin.9,D03_bin.53,D05_bin.36,D06_bin.26,D08_bin.60,E02_bin.51,E04_bin.58,E07_bin.6,E08_bin.94,F02_bin.27,F05_bin.26,F07_bin.11,F08_bin.9,G04_bin.3,G05_bin.90,G06_bin.3,G07_bin.70,G08_bin.10,H01_bin.30,H03_bin.78,H04_bin.25,H06_bin.40,H07_bin.18	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B04_bin.30	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus massiliensis	Negativibacillus massiliensis	Predicted anaerobe	280	1	B04_bin.30	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B04_bin.33	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__Hominilimicola fabiformis	Hominilimicola fabiformis	Predicted anaerobe	280	6	A02_bin.32,A03_bin.7,B04_bin.33,C06_bin.44,D01_bin.76,D04_bin.52	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B04_bin.53	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus	Lawsonibacter asaccharolyticus	Predicted anaerobe	280	9	A04_bin.29,B04_bin.53,C03_bin.20,D06_bin.39,D07_bin.19,E07_bin.7,G02_bin.35,G06_bin.45,H04_bin.66	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B05_bin.113	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Ellagibacter;s__Ellagibacter isourolithinifaciens	Ellagibacter isourolithinifaciens	Predicted anaerobe	280	4	B05_bin.113,F04_bin.15,F07_bin.72,F08_bin.6	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B05_bin.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D sp048377755	Haemophilus D sp048377755	Facultative/other	8	2	B05_bin.2,E06_bin.31	Facultative/other	TRUE	0.010925744105273945	0.01646798509219056
B05_bin.33	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae	Lachnospira rogosae	Predicted anaerobe	280	3	A07_bin.64,B05_bin.33,G04_bin.49	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B05_bin.45	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Limiplasma;s__Limiplasma sp900548145	Limiplasma sp900548145	Predicted anaerobe	280	1	B05_bin.45	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B05_bin.47	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp002404795	CAG-170 sp002404795	Predicted anaerobe	280	5	B05_bin.47,B08_bin.3,C01_bin.83,D03_bin.59,F08_bin.10	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B05_bin.48	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737 sp900549055	UBA737 sp900549055	Predicted anaerobe	280	1	B05_bin.48	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B05_bin.59	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__ML615J-28;f__CAG-313;g__CAG-313;s__CAG-313 sp003539625	CAG-313 sp003539625	Predicted anaerobe	280	1	B05_bin.59	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B05_bin.76	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-433;s__CAG-433 sp000433675	CAG-433 sp000433675	Predicted anaerobe	280	2	B05_bin.76,F07_bin.106	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B05_bin.9	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS902;s__UMGS902 sp900761025	UMGS902 sp900761025	Predicted anaerobe	280	1	B05_bin.9	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B06_bin.108	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus	Coprococcus eutactus	Predicted anaerobe	280	2	B06_bin.108,C08_bin.82	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B06_bin.15	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis vadensis	Victivallis vadensis	Predicted anaerobe	280	1	B06_bin.15	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B06_bin.18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus	Bacteroides clarus	Predicted anaerobe	280	2	B06_bin.18,C05_bin.65	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B06_bin.51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae	Bacteroides salyersiae	Predicted anaerobe	280	1	B06_bin.51	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B06_bin.6	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp002102975	CAG-196 sp002102975	Predicted anaerobe	280	5	A06_bin.69,A08_bin.19,B06_bin.6,D08_bin.62,G07_bin.42	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B06_bin.62	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Scatosoma;s__Scatosoma sp900552625	Scatosoma sp900552625	Predicted anaerobe	280	1	B06_bin.62	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B06_bin.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes senegalensis	Alistipes senegalensis	Predicted anaerobe	280	5	B06_bin.7,C05_bin.14,C07_bin.55,F07_bin.15,G01_bin.34	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B06_bin.86	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Huintestinicola;s__Huintestinicola butyrica	Huintestinicola butyrica	Predicted anaerobe	280	3	B03_bin.39,B06_bin.86,C08_bin.17	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
B07_bin.55	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus ammoniilyticus	Coprococcus ammoniilyticus	Predicted anaerobe	280	4	B05_bin.36,B07_bin.55,E02_bin.62,G06_bin.99	Predicted anaerobe	TRUE	0.9824559525111343	0.3519006719157689
