MAG ID	Cluster ID	Cluster Size	Representative MAG ID	Is Representative	Quality Score	Completeness	Contamination	N50 Contigs	Contigs	Genome Size Bp
D01_bin.71	ANI95_cluster_00019	21	A04_bin.71	False	80.72986	92.7	2.4	7106	412	2308422
D03_bin.1	ANI95_cluster_00019	21	A04_bin.71	False	98.96034	98.12	0.0	84444	41	2524952
D05_bin.16	ANI95_cluster_00019	21	A04_bin.71	False	87.02387	96.39	1.92	24867	148	2472453
E02_bin.72	ANI95_cluster_00019	21	A04_bin.71	False	100.73411	100.0	0.0	74031	62	2546385
E04_bin.6	ANI95_cluster_00019	21	A04_bin.71	False	62.98434	96.55	6.74	15424	199	2259512
E08_bin.82	ANI95_cluster_00019	21	A04_bin.71	False	101.07792	99.52	0.0	156022	23	2453144
F04_bin.35	ANI95_cluster_00019	21	A04_bin.71	False	90.62644	95.5	1.04	33844	120	2536975
F06_bin.7	ANI95_cluster_00019	21	A04_bin.71	False	95.99474	95.43	0.24	176734	26	2562221
F08_bin.68	ANI95_cluster_00019	21	A04_bin.71	False	97.83805	97.12	0.0	72305	50	2566596
G01_bin.1	ANI95_cluster_00019	21	A04_bin.71	False	95.50278	94.07	0.0	143588	31	2538391
G02_bin.62	ANI95_cluster_00019	21	A04_bin.71	False	101.57529	100.0	0.0	157859	33	2539528
G05_bin.14	ANI95_cluster_00019	21	A04_bin.71	False	90.57254	89.42	0.0	115544	29	2381398
G06_bin.43	ANI95_cluster_00019	21	A04_bin.71	False	98.64864	97.6	0.0	105204	34	2586214
H06_bin.90	ANI95_cluster_00019	21	A04_bin.71	False	98.38528	99.04	0.48	174838	31	2523354
A04_bin.72	ANI95_cluster_00020	1	A04_bin.72	True	76.33525	80.77	0.89	5705	418	1937642
A01_bin.25	ANI95_cluster_00021	42	A04_bin.93	False	93.78789	97.05	0.68	16209	242	2546995
A03_bin.59	ANI95_cluster_00021	42	A04_bin.93	False	85.79953	91.36	1.13	11713	276	2377751
A04_bin.93	ANI95_cluster_00021	42	A04_bin.93	True	96.05627	99.32	0.68	15877	225	2569107
A05_bin.119	ANI95_cluster_00021	42	A04_bin.93	False	85.08093	89.53	0.91	12933	284	2552155
A06_bin.50	ANI95_cluster_00021	42	A04_bin.93	False	89.6988	96.37	1.36	15190	231	2375895
A07_bin.17	ANI95_cluster_00021	42	A04_bin.93	False	78.28821	82.53	0.85	5841	502	2301304
A08_bin.103	ANI95_cluster_00021	42	A04_bin.93	False	87.84168	96.26	1.7	11148	298	2411345
A09_bin.38	ANI95_cluster_00021	42	A04_bin.93	False	87.89975	96.26	1.7	16265	229	2617374
B01_bin.61	ANI95_cluster_00021	42	A04_bin.93	False	87.21766	97.28	2.04	16136	237	2572845
B02_bin.54	ANI95_cluster_00021	42	A04_bin.93	False	75.95953	85.69	1.95	6283	433	2133094
B03_bin.46	ANI95_cluster_00021	42	A04_bin.93	False	96.04529	99.32	0.68	14789	226	2458594
B04_bin.32	ANI95_cluster_00021	42	A04_bin.93	False	88.61533	91.88	0.68	15673	214	2413772
B06_bin.8	ANI95_cluster_00021	42	A04_bin.93	False	81.77132	98.64	3.4	15452	232	2620806
B08_bin.44	ANI95_cluster_00021	42	A04_bin.93	False	92.44433	97.96	1.13	15783	235	2594988
B09_bin.74	ANI95_cluster_00021	42	A04_bin.93	False	85.16749	95.2	2.04	18929	218	2615862
C01_bin.49	ANI95_cluster_00021	42	A04_bin.93	False	91.95278	99.32	1.5	15498	222	2403915
C02_bin.5	ANI95_cluster_00021	42	A04_bin.93	False	82.80314	89.5	1.36	12904	259	2342504
C04_bin.67	ANI95_cluster_00021	42	A04_bin.93	False	91.54308	94.78	0.68	18418	211	2618593
C06_bin.52	ANI95_cluster_00021	42	A04_bin.93	False	78.52394	89.87	2.27	5214	482	2172780
C07_bin.9	ANI95_cluster_00021	42	A04_bin.93	False	92.66931	95.92	0.68	17111	218	2651771
D01_bin.34	ANI95_cluster_00021	42	A04_bin.93	False	91.97015	96.6	0.95	14355	234	2420901
D03_bin.90	ANI95_cluster_00021	42	A04_bin.93	False	69.67824	98.64	5.82	16004	218	2467791
D05_bin.91	ANI95_cluster_00021	42	A04_bin.93	False	87.73667	92.76	1.02	10707	304	2342281
D06_bin.56	ANI95_cluster_00021	42	A04_bin.93	False	90.60598	97.28	1.36	14908	231	2535766
D07_bin.61	ANI95_cluster_00021	42	A04_bin.93	False	81.48125	96.64	3.06	16445	232	2634716
E01_bin.86	ANI95_cluster_00021	42	A04_bin.93	False	87.56053	95.92	1.7	16463	241	2747935
E06_bin.21	ANI95_cluster_00021	42	A04_bin.93	False	91.39273	98.12	1.36	10593	332	2596546
E07_bin.29	ANI95_cluster_00021	42	A04_bin.93	False	85.19691	95.24	2.04	17831	214	2617403
E08_bin.69	ANI95_cluster_00021	42	A04_bin.93	False	86.82656	95.2	1.7	15016	236	2479626
F02_bin.30	ANI95_cluster_00021	42	A04_bin.93	False	89.3052	95.96	1.36	16610	209	2242728
F06_bin.56	ANI95_cluster_00021	42	A04_bin.93	False	89.24273	92.52	0.68	14673	240	2445218
F07_bin.96	ANI95_cluster_00021	42	A04_bin.93	False	92.68618	95.96	0.68	14908	229	2478622
F08_bin.30	ANI95_cluster_00021	42	A04_bin.93	False	89.97035	96.64	1.36	15525	249	2571656
G01_bin.89	ANI95_cluster_00021	42	A04_bin.93	False	75.66019	92.52	3.4	16189	217	2477311
G02_bin.31	ANI95_cluster_00021	42	A04_bin.93	False	94.46018	97.73	0.68	15238	222	2487812
G03_bin.40	ANI95_cluster_00021	42	A04_bin.93	False	92.30341	95.55	0.68	17331	199	2364677
G04_bin.103	ANI95_cluster_00021	42	A04_bin.93	False	90.47335	93.73	0.68	16675	234	2346044
G05_bin.58	ANI95_cluster_00021	42	A04_bin.93	False	84.92428	93.91	1.81	9788	336	2365296
G06_bin.46	ANI95_cluster_00021	42	A04_bin.93	False	90.65684	93.92	0.68	15974	229	2591986
G07_bin.23	ANI95_cluster_00021	42	A04_bin.93	False	83.58986	95.95	2.49	11836	285	2377385
H03_bin.59	ANI95_cluster_00021	42	A04_bin.93	False	91.77264	98.41	1.36	18244	198	2415496
H07_bin.7	ANI95_cluster_00021	42	A04_bin.93	False	87.22058	97.28	2.04	16308	225	2434823
A05_bin.102	ANI95_cluster_00022	2	A05_bin.102	True	95.53102	97.99	0.67	90012	91	2522564
F07_bin.94	ANI95_cluster_00022	2	A05_bin.102	False	87.0134	87.97	0.22	16260	192	1929786
A05_bin.109	ANI95_cluster_00023	5	A05_bin.109	True	89.35511	93.43	1.02	103481	97	5855880
B03_bin.30	ANI95_cluster_00023	5	A05_bin.109	False	50.84576	83.05	6.51	37896	332	5840644
E03_bin.6	ANI95_cluster_00023	5	A05_bin.109	False	54.37401	89.27	7.03	29401	400	6630225
F01_bin.68	ANI95_cluster_00023	5	A05_bin.109	False	71.02368	89.66	3.9	87618	125	5865485
H05_bin.66	ANI95_cluster_00023	5	A05_bin.109	False	59.38339	81.94	4.7	95539	120	5531871
A05_bin.115	ANI95_cluster_00024	1	A05_bin.115	True	101.6006	100.0	0.0	160410	35	2034471
A05_bin.15	ANI95_cluster_00025	1	A05_bin.15	True	94.83413	97.32	0.67	86863	45	2637005
A05_bin.33	ANI95_cluster_00026	1	A05_bin.33	True	96.55341	96.28	0.0	28331	99	1736452
A05_bin.47	ANI95_cluster_00027	1	A05_bin.47	True	100.81695	99.19	0.0	162915	22	2049626
A05_bin.49	ANI95_cluster_00028	2	A05_bin.49	True	86.24164	96.27	2.06	28244	108	1971623
A07_bin.29	ANI95_cluster_00028	2	A05_bin.49	False	46.55491	81.61	7.01	3721	423	1477107
A05_bin.5	ANI95_cluster_00029	4	A05_bin.5	True	101.3552	100.0	0.0	135760	24	1800533
E04_bin.4	ANI95_cluster_00029	4	A05_bin.5	False	79.73671	91.7	2.4	6821	315	1642640
G04_bin.93	ANI95_cluster_00029	4	A05_bin.5	False	83.02848	86.89	0.8	15158	131	1293784
G08_bin.85	ANI95_cluster_00029	4	A05_bin.5	False	93.66976	97.6	0.8	9466	249	1820149
A05_bin.79	ANI95_cluster_00030	5	A05_bin.79	True	97.78994	97.99	0.34	150194	20	1910177
B08_bin.60	ANI95_cluster_00030	5	A05_bin.79	False	85.91507	84.23	0.0	168667	16	1794189
F04_bin.26	ANI95_cluster_00030	5	A05_bin.79	False	89.49301	92.84	0.69	12401	210	1756277
F06_bin.38	ANI95_cluster_00030	5	A05_bin.79	False	95.02551	97.99	1.01	208741	19	2060047
G07_bin.35	ANI95_cluster_00030	5	A05_bin.79	False	76.24172	82.91	1.34	6412	324	1692409
A05_bin.9	ANI95_cluster_00031	1	A05_bin.9	True	74.16751	88.59	2.98	48401	65	1821249
A05_bin.91	ANI95_cluster_00032	1	A05_bin.91	True	80.53294	92.86	2.48	10344	305	2404929
A05_bin.92	ANI95_cluster_00033	1	A05_bin.92	True	77.76413	85.19	1.49	7053	464	2494530
A02_bin.55	ANI95_cluster_00034	44	A06_bin.107	False	91.93673	95.7	0.81	30353	168	3526875
A04_bin.91	ANI95_cluster_00034	44	A06_bin.107	False	100.47766	99.19	0.0	129346	58	4104683
A06_bin.107	ANI95_cluster_00034	44	A06_bin.107	True	101.08357	99.46	0.0	162827	47	4192519
A07_bin.50	ANI95_cluster_00034	44	A06_bin.107	False	98.22639	97.31	0.0	92339	70	4118639
A08_bin.8	ANI95_cluster_00034	44	A06_bin.107	False	89.17232	91.4	0.54	48452	122	3770845
B03_bin.40	ANI95_cluster_00034	44	A06_bin.107	False	92.58538	92.11	0.0	48808	127	3887434
B05_bin.64	ANI95_cluster_00034	44	A06_bin.107	False	97.50517	96.24	0.0	127067	55	4112628
B06_bin.28	ANI95_cluster_00034	44	A06_bin.107	False	100.65868	99.46	0.0	120578	71	4151230
B07_bin.52	ANI95_cluster_00034	44	A06_bin.107	False	95.86605	95.16	0.0	71485	88	3804851
B08_bin.33	ANI95_cluster_00034	44	A06_bin.107	False	100.36577	99.46	0.0	91257	68	4017121
B09_bin.99	ANI95_cluster_00034	44	A06_bin.107	False	100.7901	99.46	0.0	133530	52	4085110
C01_bin.55	ANI95_cluster_00034	44	A06_bin.107	False	71.34544	92.96	4.35	17044	350	3923063
C02_bin.79	ANI95_cluster_00034	44	A06_bin.107	False	99.01395	98.48	0.0	54455	106	4170418
C04_bin.44	ANI95_cluster_00034	44	A06_bin.107	False	73.0892	81.15	1.61	5920	700	3274036
C05_bin.55	ANI95_cluster_00034	44	A06_bin.107	False	97.97534	97.31	0.0	67534	100	3876533
C06_bin.2	ANI95_cluster_00034	44	A06_bin.107	False	101.04884	99.46	0.0	159234	35	4112843
C07_bin.43	ANI95_cluster_00034	44	A06_bin.107	False	97.47359	99.46	0.54	72249	89	4233559
C08_bin.67	ANI95_cluster_00034	44	A06_bin.107	False	96.90001	96.24	0.0	66831	83	3752058
D03_bin.19	ANI95_cluster_00034	44	A06_bin.107	False	90.27592	93.55	0.72	34322	173	3802550
D05_bin.70	ANI95_cluster_00034	44	A06_bin.107	False	100.18296	99.07	0.0	111936	64	4089073
D08_bin.36	ANI95_cluster_00034	44	A06_bin.107	False	96.36434	95.7	0.0	67404	97	3940964
E01_bin.76	ANI95_cluster_00034	44	A06_bin.107	False	88.98256	88.87	0.0	14796	354	3451900
E02_bin.63	ANI95_cluster_00034	44	A06_bin.107	False	84.44249	85.34	0.18	6489	624	3183259
E03_bin.27	ANI95_cluster_00034	44	A06_bin.107	False	87.74955	90.41	0.54	9375	542	3734406
E06_bin.68	ANI95_cluster_00034	44	A06_bin.107	False	96.33796	96.0	0.0	35396	160	3858176
E07_bin.52	ANI95_cluster_00034	44	A06_bin.107	False	80.21627	88.24	1.61	8687	606	3989292
E08_bin.88	ANI95_cluster_00034	44	A06_bin.107	False	93.35144	92.47	0.0	88884	74	3902426
F02_bin.36	ANI95_cluster_00034	44	A06_bin.107	False	97.15263	99.46	0.54	40813	155	3969382
F03_bin.3	ANI95_cluster_00034	44	A06_bin.107	False	93.85843	96.77	0.72	69753	91	4042734
F04_bin.32	ANI95_cluster_00034	44	A06_bin.107	False	80.84858	86.16	1.08	12388	353	3131051
F05_bin.8	ANI95_cluster_00034	44	A06_bin.107	False	98.26936	97.31	0.0	96656	72	4143833
F06_bin.89	ANI95_cluster_00034	44	A06_bin.107	False	92.32856	91.94	0.0	40476	162	4015038
F08_bin.57	ANI95_cluster_00034	44	A06_bin.107	False	87.09187	87.06	0.0	8497	531	3419588
G02_bin.1	ANI95_cluster_00034	44	A06_bin.107	False	96.03339	95.7	0.0	35219	188	3731616
G04_bin.2	ANI95_cluster_00034	44	A06_bin.107	False	94.51652	93.55	0.0	97292	64	3915315
G05_bin.34	ANI95_cluster_00034	44	A06_bin.107	False	85.69565	92.37	1.34	8415	585	3478732
G06_bin.30	ANI95_cluster_00034	44	A06_bin.107	False	98.6785	97.85	0.0	83660	81	4033527
G07_bin.103	ANI95_cluster_00034	44	A06_bin.107	False	95.05635	94.62	0.0	44985	135	3643619
H02_bin.16	ANI95_cluster_00034	44	A06_bin.107	False	84.03728	89.61	1.16	25308	258	3683235
H03_bin.70	ANI95_cluster_00034	44	A06_bin.107	False	95.77502	99.46	0.81	38142	164	3671915
H04_bin.2	ANI95_cluster_00034	44	A06_bin.107	False	96.31295	95.7	0.0	62305	101	3980197
H05_bin.42	ANI95_cluster_00034	44	A06_bin.107	False	97.44438	96.24	0.0	120948	51	4138995
H06_bin.91	ANI95_cluster_00034	44	A06_bin.107	False	89.00709	94.19	1.08	24069	236	3684460
H07_bin.8	ANI95_cluster_00034	44	A06_bin.107	False	91.21856	95.7	1.08	92486	63	4183627
A06_bin.108	ANI95_cluster_00035	2	A06_bin.108	True	82.60386	82.49	0.0	13246	186	1783453
G05_bin.7	ANI95_cluster_00035	2	A06_bin.108	False	79.66646	81.28	0.34	10906	226	1713195
A06_bin.20	ANI95_cluster_00036	1	A06_bin.20	True	73.83282	92.7	3.93	78592	31	1384592
A06_bin.30	ANI95_cluster_00037	1	A06_bin.30	True	92.59341	98.66	1.34	64691	135	3048016
A06_bin.31	ANI95_cluster_00038	1	A06_bin.31	True	80.42458	88.32	1.6	13398	294	2496925
A06_bin.41	ANI95_cluster_00039	1	A06_bin.41	True	86.19645	85.46	0.0	73945	30	1696435
A06_bin.83	ANI95_cluster_00040	2	A06_bin.83	True	87.02861	91.51	0.97	37841	98	2329179
E01_bin.16	ANI95_cluster_00040	2	A06_bin.83	False	84.58327	86.78	0.57	65847	52	2470593
A07_bin.25	ANI95_cluster_00041	1	A07_bin.25	True	94.43712	96.16	0.74	198022	31	3510087
A07_bin.27	ANI95_cluster_00042	3	A07_bin.27	True	98.10377	99.4	0.6	170527	15	1815208
B06_bin.94	ANI95_cluster_00042	3	A07_bin.27	False	97.54958	98.8	0.6	175068	11	1788969
H03_bin.102	ANI95_cluster_00042	3	A07_bin.27	False	95.18721	98.73	0.8	46301	58	1741182
A07_bin.40	ANI95_cluster_00043	4	A07_bin.40	True	91.82541	92.62	0.22	31541	100	2171300
C03_bin.15	ANI95_cluster_00043	4	A07_bin.40	False	77.31642	93.5	3.26	13872	223	2014252
E03_bin.44	ANI95_cluster_00043	4	A07_bin.40	False	86.78842	90.6	0.85	44582	74	1980435
F08_bin.28	ANI95_cluster_00043	4	A07_bin.40	False	67.92602	89.07	4.25	12682	208	1872437
A04_bin.39	ANI95_cluster_00044	18	A07_bin.65	False	98.93888	98.11	0.19	178188	30	3230212
A07_bin.65	ANI95_cluster_00044	18	A07_bin.65	True	102.49284	99.62	0.0	287444	16	3239238
B01_bin.60	ANI95_cluster_00044	18	A07_bin.65	False	93.9171	91.7	0.0	221890	18	2975792
B02_bin.88	ANI95_cluster_00044	18	A07_bin.65	False	87.51515	99.62	3.02	299755	24	3278511
C04_bin.66	ANI95_cluster_00044	18	A07_bin.65	False	101.04169	99.62	0.0	142439	27	3116803
C08_bin.42	ANI95_cluster_00044	18	A07_bin.65	False	99.81103	99.62	0.38	209393	29	3150370
D06_bin.7	ANI95_cluster_00044	18	A07_bin.65	False	83.05861	83.03	0.0	7261	440	2352069
E01_bin.2	ANI95_cluster_00044	18	A07_bin.65	False	99.76977	98.49	0.0	128317	34	3035229
E04_bin.29	ANI95_cluster_00044	18	A07_bin.65	False	101.38098	99.25	0.0	213348	25	3311021
E07_bin.68	ANI95_cluster_00044	18	A07_bin.65	False	102.07521	99.62	0.0	245751	23	3193086
F02_bin.96	ANI95_cluster_00044	18	A07_bin.65	False	95.98258	94.34	0.38	354418	16	3160926
F06_bin.88	ANI95_cluster_00044	18	A07_bin.65	False	93.75886	98.49	1.7	377096	21	3278001
F07_bin.17	ANI95_cluster_00044	18	A07_bin.65	False	98.20543	96.23	0.0	197753	21	3029969
G01_bin.8	ANI95_cluster_00044	18	A07_bin.65	False	97.30299	95.85	0.38	335409	11	3222247
G06_bin.79	ANI95_cluster_00044	18	A07_bin.65	False	102.00632	99.62	0.0	238952	32	3187362
G08_bin.56	ANI95_cluster_00044	18	A07_bin.65	False	84.85832	92.38	1.51	7572	474	2809321
H05_bin.12	ANI95_cluster_00044	18	A07_bin.65	False	101.99969	99.25	0.0	275149	18	3141718
H06_bin.81	ANI95_cluster_00044	18	A07_bin.65	False	98.01392	94.34	0.0	367532	14	3102851
A07_bin.75	ANI95_cluster_00045	1	A07_bin.75	True	100.64925	100.0	0.0	65355	43	2120542
A07_bin.77	ANI95_cluster_00046	1	A07_bin.77	True	80.92853	85.97	1.01	5493	464	2175697
A07_bin.85	ANI95_cluster_00047	2	A07_bin.85	True	88.23298	98.79	2.27	79938	64	3405736
D05_bin.25	ANI95_cluster_00047	2	A07_bin.85	False	86.58907	93.8	1.52	40377	147	3767860
A08_bin.108	ANI95_cluster_00048	3	A08_bin.108	True	93.07814	96.91	0.81	23304	149	1870168
B01_bin.6	ANI95_cluster_00048	3	A08_bin.108	False	85.93651	95.3	1.88	7091	344	1814252
G07_bin.81	ANI95_cluster_00048	3	A08_bin.108	False	90.14162	96.37	1.28	18702	154	1908985
A08_bin.2	ANI95_cluster_00049	4	A08_bin.2	True	81.47863	85.48	0.81	7513	265	1499132
D01_bin.68	ANI95_cluster_00049	4	A08_bin.2	False	77.85013	80.65	0.81	125173	16	1538018
E01_bin.65	ANI95_cluster_00049	4	A08_bin.2	False	75.54707	83.54	1.61	8297	259	1552923
G07_bin.24	ANI95_cluster_00049	4	A08_bin.2	False	79.4284	87.84	1.7	10890	205	1564901
A01_bin.84	ANI95_cluster_00050	9	A08_bin.91	False	79.90364	90.6	2.24	51064	70	2090048
A04_bin.8	ANI95_cluster_00050	9	A08_bin.91	False	72.83792	89.49	3.36	16662	187	2050026
A08_bin.91	ANI95_cluster_00050	9	A08_bin.91	True	85.88731	96.98	2.35	66321	59	2088428
B09_bin.66	ANI95_cluster_00050	9	A08_bin.91	False	74.47013	90.32	3.24	35913	90	1973139
C04_bin.79	ANI95_cluster_00050	9	A08_bin.91	False	81.88429	93.29	2.35	35389	96	1965941
C05_bin.108	ANI95_cluster_00050	9	A08_bin.91	False	64.60227	95.61	6.22	12017	279	2139873
F02_bin.2	ANI95_cluster_00050	9	A08_bin.91	False	64.04938	80.23	3.24	5828	389	1810586
F06_bin.81	ANI95_cluster_00050	9	A08_bin.91	False	82.16646	89.94	1.57	10436	279	1985297
G06_bin.82	ANI95_cluster_00050	9	A08_bin.91	False	77.30748	90.44	2.71	42678	93	2132481
A09_bin.16	ANI95_cluster_00051	5	A09_bin.16	True	90.68306	91.28	0.22	50806	50	1870011
B07_bin.96	ANI95_cluster_00051	5	A09_bin.16	False	86.86829	90.6	0.89	72249	42	1958312
E08_bin.81	ANI95_cluster_00051	5	A09_bin.16	False	49.52761	87.62	7.63	8691	293	1791274
G03_bin.78	ANI95_cluster_00051	5	A09_bin.16	False	74.69438	91.95	3.49	20718	128	1866429
G05_bin.105	ANI95_cluster_00051	5	A09_bin.16	False	68.49648	86.58	3.69	37558	91	2056373
A09_bin.21	ANI95_cluster_00052	8	A09_bin.21	True	87.79259	93.96	1.34	54469	121	3176636
B01_bin.31	ANI95_cluster_00052	8	A09_bin.21	False	34.65157	80.01	9.06	3987	983	3484512
B05_bin.39	ANI95_cluster_00052	8	A09_bin.21	False	70.73886	87.95	3.46	12576	369	2933388
B07_bin.20	ANI95_cluster_00052	8	A09_bin.21	False	37.48518	87.18	9.94	7068	655	3377502
C02_bin.54	ANI95_cluster_00052	8	A09_bin.21	False	56.96859	82.11	5.03	6239	538	2709414
C07_bin.14	ANI95_cluster_00052	8	A09_bin.21	False	65.49617	89.06	4.73	12627	401	3041968
G01_bin.54	ANI95_cluster_00052	8	A09_bin.21	False	46.56902	93.96	9.55	37572	167	3340280
G05_bin.96	ANI95_cluster_00052	8	A09_bin.21	False	65.2173	83.55	3.69	14540	281	2565017
A03_bin.2	ANI95_cluster_00053	18	A09_bin.36	False	90.22926	91.95	0.4	29136	121	2191459
A05_bin.89	ANI95_cluster_00053	18	A09_bin.36	False	69.61086	93.59	4.81	10576	349	2455545
A06_bin.64	ANI95_cluster_00053	18	A09_bin.36	False	60.3909	92.32	6.4	10050	296	2146720
A07_bin.60	ANI95_cluster_00053	18	A09_bin.36	False	50.08897	94.3	8.85	7597	370	2176781
