MAG ID	Cluster ID	Representative MAG ID	Is Representative	Gtdb Classification	Gtdb Domain	Gtdb Phylum	Gtdb Class	Gtdb Order	Gtdb Family	Gtdb Genus	Gtdb Species	Completeness	Contamination	Genome Size Bp	Contigs	N50 Contigs	Gc	Predicted Genes	Samples With Relative Abundance Gt0	Prevalence Fraction	Mean Relative Abundance Percent	Median Relative Abundance Percent	Median Nonzero Relative Abundance Percent	Max Relative Abundance Percent	Total Relative Abundance Percent Across Samples	Samples With Covered Fraction Gt0	Mean Covered Fraction
A01_bin.31	ANI95_cluster_00004	A01_bin.31	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter torques	91.73	0.0	2276978	67	60844	42.213627	2058	35.0	0.5384615385	0.01916533153	0.004986056	0.014339851	0.2190218	1.245746549	35.0	0.2067077114
A01_bin.32	ANI95_cluster_00302	F06_bin.75	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Hominicoprocola	Hominicoprocola fusiformis	94.41	1.93	1950005	151	19859	59.254822	1944	47.0	0.7230769231	0.02404187253	0.012845874	0.021944612	0.3653395	1.562721715	47.0	0.2262998465
A01_bin.34	ANI95_cluster_00128	B08_bin.66	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes communis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes communis	97.58	0.48	2679208	47	92101	60.069618	2183	38.0	0.5846153846	0.02682079037	0.014059553	0.0337866575	0.16361354	1.743351374	38.0	0.2790051275
A01_bin.40	ANI95_cluster_00083	B04_bin.18	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	95.73	0.96	2772923	35	104266	59.310698	2263	56.0	0.8615384615	0.1165528897	0.03157245	0.04346163	0.89815927	7.575937832	56.0	0.5121431066
A01_bin.47	ANI95_cluster_00005	A01_bin.47	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Egerieenecus;s__Egerieenecus merdigallinarum	Bacteria	Bacillota	Clostridia	Christensenellales	Aristaeellaceae	Egerieenecus	Egerieenecus merdigallinarum	93.01	0.81	2841231	348	11837	59.457784	2700	25.0	0.3846153846	0.01264289072	0.0	0.020275025	0.26089478	0.8217878968	25.0	0.1648697665
A01_bin.49	ANI95_cluster_00006	A01_bin.49	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp003516765	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp003516765	92.73	1.73	2181759	260	13843	57.305596	2241	34.0	0.5230769231	0.04141921968	0.007977027	0.037361186	0.61439455	2.692249279	34.0	0.3014077166
A01_bin.5	ANI95_cluster_00019	A04_bin.71	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A ihumii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A ihumii	97.6	0.48	2515951	20	199859	58.296406	2034	25.0	0.3846153846	0.01664756104	0.0	0.01685653	0.32825178	1.082091468	25.0	0.1599193862
A01_bin.53	ANI95_cluster_00267	E06_bin.85	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	81.62	0.0	2218732	27	109878	59.924452	1781	45.0	0.6923076923	0.06187287401	0.040773105	0.058136567	0.30729526	4.02173681	45.0	0.4178757268
A01_bin.54	ANI95_cluster_00272	E07_bin.69	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter welbionis	96.31	2.35	2645440	90	53019	61.569493	2599	55.0	0.8461538462	0.02650927713	0.014768085	0.02084915	0.21781456	1.723103013	55.0	0.3154571414
A01_bin.6	ANI95_cluster_00140	C02_bin.89	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium mulieris	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Hominenteromicrobium	Hominenteromicrobium mulieris	91.28	0.0	2172963	37	94268	53.416004	2001	42.0	0.6461538462	0.01286413714	0.006759048	0.01082956675	0.11529294	0.836168914	42.0	0.2026462332
A01_bin.61	ANI95_cluster_00220	D07_bin.75	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A fusiformis	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A fusiformis	85.23	5.91	2369920	289	11288	45.714623	2270	59.0	0.9076923077	0.04821006778	0.019792149	0.023899516	0.48962948	3.133654406	59.0	0.3801539208
A01_bin.63	ANI95_cluster_00283	F02_bin.66	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter inops	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Tidjanibacter	Tidjanibacter inops	99.52	0.96	2422965	40	164708	56.033414	2100	31.0	0.4769230769	0.03494755229	0.0	0.033229	0.54875404	2.271590899	31.0	0.2165664868
A01_bin.65	ANI95_cluster_00380	H01_bin.87	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor intestinalis	83.09	3.56	2370211	67	57925	47.346122	2122	36.0	0.5538461538	0.03218364556	0.006822212	0.0183435205	0.5890557	2.091936961	36.0	0.1926081471
A01_bin.66	ANI95_cluster_00007	A01_bin.66	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola;s__Ventricola sp900542395	Bacteria	Bacillota	Clostridia	Christensenellales	Aristaeellaceae	Ventricola	Ventricola sp900542395	97.98	0.27	2566478	87	40677	59.814734	2262	27.0	0.4153846154	0.01410647672	0.0	0.014584925	0.35584822	0.9169209869	27.0	0.1322901134
A01_bin.69	ANI95_cluster_00008	A01_bin.69	True	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp000435675	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Anaerotardibacter	Anaerotardibacter sp000435675	98.39	0.12	1626563	8	306209	54.384982	1456	22.0	0.3384615385	0.08297088691	0.0	0.0140032835	5.003537	5.393107649	22.0	0.099948684
A01_bin.72	ANI95_cluster_00009	A01_bin.72	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium hattorii	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium hattorii	94.58	2.89	2156014	84	39945	60.140240	1987	7.0	0.1076923077	0.03609958958	0.0	0.33531857	0.9429921	2.346473323	7.0	0.07793151862
A01_bin.77	ANI95_cluster_00010	A01_bin.77	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp963557435	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter sp963557435	92.56	4.7	2242544	218	16118	61.514512	2297	7.0	0.1076923077	0.0073698228	0.0	0.023430225	0.32123095	0.479038482	7.0	0.03428021
A01_bin.82	ANI95_cluster_00286	F03_bin.13	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii	99.42	0.1	3010615	31	153055	59.501962	2385	44.0	0.6769230769	0.05444726073	0.010435913	0.023374157	1.2898532	3.539071948	44.0	0.2229645255
A01_bin.83	ANI95_cluster_00217	D07_bin.25	False	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia rubneri	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia rubneri	88.31	4.95	2359108	318	11261	63.847904	2172	39.0	0.6	0.0275768879	0.0048956145	0.011445143	1.2393081	1.792497713	39.0	0.1296935388
A01_bin.84	ANI95_cluster_00050	A08_bin.91	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes amylophilus	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes amylophilus	90.6	2.24	2090048	70	51064	37.158620	2046	34.0	0.5230769231	0.01426033646	0.002848826	0.016362691	0.12562521	0.9269218699	34.0	0.1926807625
A01_bin.85	ANI95_cluster_00133	B09_bin.61	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola aceti	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Hominimerdicola	Hominimerdicola aceti	98.63	0.0	2417053	75	58648	43.183662	2212	39.0	0.6	0.01558374317	0.006631485	0.012027754	0.22241452	1.012943306	39.0	0.1487651798
A01_bin.86	ANI95_cluster_00011	A01_bin.86	True	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13006;s__HGM13006 sp965147785	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	HGM13006	HGM13006 sp965147785	90.65	9.12	5732609	757	11683	54.846301	6118	59.0	0.9076923077	0.03233909469	0.023408659	0.025540331	0.273463	2.102041155	59.0	0.1682097918
A01_bin.87	ANI95_cluster_00129	B09_bin.106	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas virosa	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas virosa	88.95	6.41	3904815	625	8875	42.823745	3648	23.0	0.3538461538	0.01416019018	0.0	0.023239361	0.115604624	0.9204123615	23.0	0.1506118558
A01_bin.90	ANI95_cluster_00364	G08_bin.17	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900317525	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Hominicoprocola	Hominicoprocola sp900317525	94.97	2.01	1936776	79	43274	61.289690	1866	43.0	0.6615384615	0.02303505165	0.013970209	0.021497617	0.21161371	1.497278357	43.0	0.2371480728
A01_bin.91	ANI95_cluster_00413	H05_bin.38	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	90.85	0.72	4157057	161	47197	45.500603	3519	47.0	0.7230769231	0.01467538461	0.009363199	0.013872863	0.096757226	0.9538999998	47.0	0.1958788377
A01_bin.93	ANI95_cluster_00201	D04_bin.5	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii	96.08	5.5	3153817	237	20261	62.932726	3140	44.0	0.6769230769	0.0330863455	0.009062614	0.0185539305	0.35771954	2.150612458	44.0	0.2840763948
A02_bin.13	ANI95_cluster_00008	A01_bin.69	False	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp000435675	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Anaerotardibacter	Anaerotardibacter sp000435675	96.77	0.2	1546094	51	53664	54.551987	1380	22.0	0.3384615385	0.02754109312	0.0	0.0113850005	1.2597022	1.790171053	22.0	0.09514439794
A02_bin.15	ANI95_cluster_00406	H04_bin.57	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	90.48	0.34	2344644	70	50096	60.399873	2086	52.0	0.8	0.02355548985	0.01305818	0.0167755625	0.4320206	1.53110684	52.0	0.1959741646
A02_bin.17	ANI95_cluster_00281	F02_bin.63	False	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum	97.7	4.49	2125254	47	70484	62.927678	1742	19.0	0.2923076923	0.02671686305	0.0	0.025796933	0.9591881	1.736596098	19.0	0.1283213938
A02_bin.20	ANI95_cluster_00177	C07_bin.89	False	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila wadsworthia	92.01	0.0	3757058	315	17920	60.773403	3324	37.0	0.5692307692	0.008499121169	0.0040944754	0.010092499	0.079482116	0.552442876	36.0	0.156507844
A02_bin.25	ANI95_cluster_00173	C07_bin.25	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	97.99	3.86	4315686	456	15167	37.705894	4222	59.0	0.9076923077	0.033586359	0.023119902	0.025932478	0.18017173	2.183113335	59.0	0.3288739738
A02_bin.27	ANI95_cluster_00193	D01_bin.64	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	87.9	1.3	4007969	45	127775	46.722467	3254	63.0	0.9692307692	0.1497272591	0.09432678	0.10104406	1.5137749	9.73227184	63.0	0.5173757955
A02_bin.32	ANI95_cluster_00085	B04_bin.33	False	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__Hominilimicola fabiformis	Bacteria	Bacillota	Clostridia	UBA1381	UBA1381	Hominilimicola	Hominilimicola fabiformis	90.25	1.9	2214494	304	10771	38.504868	2201	47.0	0.7230769231	0.01680857657	0.011156123	0.017502852	0.14529501	1.092557477	47.0	0.2585334384
A02_bin.41	ANI95_cluster_00298	F06_bin.46	False	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	85.25	1.06	1272510	308	4701	39.691869	1537	21.0	0.3230769231	0.008024967005	0.0	0.015130067	0.08764372	0.5216228553	20.0	0.1347040938
A02_bin.42	ANI95_cluster_00143	C03_bin.49	False	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	84.52	2.34	1928709	87	36020	60.297484	1649	53.0	0.8153846154	0.02321188091	0.012773382	0.016964894	0.22293638	1.508772259	53.0	0.2988675037
A02_bin.44	ANI95_cluster_00413	H05_bin.38	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	80.19	0.38	3786313	43	143631	44.932920	3180	49.0	0.7538461538	0.01549777173	0.007673826	0.010934101	0.14619327	1.007355162	49.0	0.2070975764
A02_bin.50	ANI95_cluster_00360	G07_bin.76	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprocola	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola coprocola	94.05	0.93	3220964	109	52367	40.447084	2606	8.0	0.1230769231	0.1499433826	0.0	0.104673187	6.8928356	9.746319868	8.0	0.08682842
A02_bin.52	ANI95_cluster_00012	A02_bin.52	True	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus massiliensis	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus massiliensis	95.21	0.6	2265970	75	53138	54.705402	2029	1.0	0.01538461538	0.006715972308	0.0	0.4365382	0.4365382	0.4365382	1.0	0.01538303385
A02_bin.54	ANI95_cluster_00302	F06_bin.75	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Hominicoprocola	Hominicoprocola fusiformis	83.46	2.57	1618207	392	4644	59.974713	1796	47.0	0.7230769231	0.01558049226	0.010880825	0.014658835	0.095486246	1.012731997	47.0	0.1774525566
A02_bin.55	ANI95_cluster_00034	A06_bin.107	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter splanchnicus	95.7	0.81	3526875	168	30353	43.751395	3036	50.0	0.7692307692	0.0108442258	0.009492542	0.012090894	0.03438076	0.7048746767	50.0	0.2185919131
A02_bin.58	ANI95_cluster_00231	D08_bin.97	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae	83.78	0.38	3277893	65	78727	45.857293	2639	41.0	0.6307692308	0.02350404502	0.015362773	0.028519137	0.17599763	1.527762926	41.0	0.2843089478
A02_bin.69	ANI95_cluster_00415	H05_bin.43	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia rectalis	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia rectalis	99.52	0.48	2670908	45	112365	41.667927	2445	49.0	0.7538461538	0.02651094279	0.014021518	0.01767501	0.4586053	1.723211281	49.0	0.2102304298
A02_bin.80	ANI95_cluster_00194	D01_bin.67	False	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp905215825	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp905215825	94.35	0.81	2006762	48	65843	60.171111	1729	34.0	0.5230769231	0.02893807921	0.005754794	0.0176489595	0.9605212	1.880975148	34.0	0.1318605953
A02_bin.81	ANI95_cluster_00358	G07_bin.107	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia faecis	82.76	6.9	3060205	78	90579	43.724816	2897	43.0	0.6615384615	0.04286880235	0.023521185	0.038303792	0.60059375	2.786472152	43.0	0.2401655026
A03_bin.12	ANI95_cluster_00419	H06_bin.61	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	95.15	2.11	2729931	96	55862	48.629691	2422	60.0	0.9230769231	0.02587612373	0.01367068	0.015222849	0.15150382	1.681948043	60.0	0.3074417579
A03_bin.14	ANI95_cluster_00346	G05_bin.13	False	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides intestinale	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcoides	Ruminococcoides intestinale	98.66	1.01	2132451	18	349395	40.559431	2001	41.0	0.6307692308	0.04537851494	0.011121371	0.044184946	0.5152227	2.949603471	41.0	0.2181599691
